ticker,signal_date,phase,grade,body_ratio,touch_depth_min_ext,signal_conviction,crs_rank,ext_at_signal,band_width_pct,R_pct,status,r_multiple,return_pct,exit_reason,hold_days,close_date
CUB,2026-07-06,seed,A,,-2.29,,,,,6.04,ACTIVE,,9.14,,40.0,
DELHIVERY,2026-07-06,seed,A,,0.19,,,,,9.78,HIT_STOP,-1.05,-10.23,stop,30.0,2026-08-17
INDUSINDBK,2026-07-06,seed,A,,6.26,,,,,6.19,ACTIVE,,2.69,,40.0,
NESTLEIND,2026-07-06,seed,A,,8.14,,,,,5.19,ACTIVE,,0.31,,40.0,
LTF,2026-07-09,seed,A,,-0.54,,,,,5.48,ACTIVE,,-0.14,,40.0,
BAJAJ-AUTO,2026-07-13,seed,A,,4.84,,,,,2.92,ACTIVE,,18.15,,35.0,
CANFINHOME,2026-07-13,seed,A,,-4.3,,,,,3.75,HIT_STOP,-2.94,-11.04,stop,10.0,2026-07-27
GLENMARK,2026-07-13,seed,A,,4.12,,,,,3.21,HIT_STOP,-0.93,-2.97,stop,10.0,2026-07-27
NATCOPHARM,2026-07-13,seed,A,,-6.48,,,,,6.52,HIT_STOP,-0.95,-6.19,sma_break,10.0,2026-07-27
NLCINDIA,2026-07-13,seed,A,,13.67,,,,,5.58,HIT_STOP,-1.97,-10.97,stop,25.0,2026-08-17
BIOCON,2026-07-20,seed,A,,9.09,,,,,8.56,ACTIVE,,-6.65,,30.0,
LINDEINDIA,2026-07-20,seed,A,,6.26,,,,,1.94,HIT_STOP,-2.32,-4.5,stop,5.0,2026-07-27
MRPL,2026-07-20,seed,A,,-6.6,,,,,9.22,ACTIVE,,-2.02,,30.0,
SIEMENS,2026-07-20,seed,A,,5.58,,,,,5.86,ACTIVE,,12.55,,30.0,
3MINDIA,2026-07-24,seed,A,,-3.56,,0.1063,,,2.23,HIT_STOP,-0.57,-1.73,stop,5.0,2026-08-03
GESHIP,2026-07-24,seed,A,,6.48,,0.1386,,,6.81,HIT_STOP,-1.46,-10.01,stop,15.0,2026-08-17
HEG,2026-07-24,seed,A,,-4.74,,0.1996,,,9.91,ACTIVE,,13.44,,25.0,
M&MFIN,2026-07-24,seed,A,,-9.62,,0.1276,,,10.91,ACTIVE,,4.32,,25.0,
TVSMOTOR,2026-07-24,seed,A,,-6.35,,0.1167,,,8.27,ACTIVE,,10.22,,25.0,
CHOLAFIN,2026-07-31,seed,A,,-2.51,,0.1334,12.03,,8.31,,,,,,
GVT&D,2026-07-31,seed,A,,11.52,,0.1317,14.98,,8.35,ACTIVE,,0.62,,20.0,
ENGINERSIN,2026-08-07,seed,A,0.78,5.27,normal,0.1259,13.38,9.8,7.57,ACTIVE,,5.45,,15.0,
GRAPHITE,2026-08-07,seed,A,0.585,-2.51,normal,0.1141,12.59,12.5,7.83,ACTIVE,,-1.97,,15.0,
HINDALCO,2026-08-07,seed,A,0.889,2.71,normal,0.1233,9.76,7.7,3.83,ACTIVE,,-1.52,,15.0,
NATIONALUM,2026-08-07,seed,A,0.731,2.95,normal,0.0777,7.09,8.5,4.27,,,,,,
PTCIL,2026-08-07,seed,A,0.8,2.55,normal,0.0991,9.94,8.6,6.81,ACTIVE,,14.57,,15.0,
UNIONBANK,2026-08-07,seed,A,0.904,2.85,normal,0.108,12.49,7.6,6.64,ACTIVE,,1.26,,15.0,
ADANIPORTS,2026-08-14,seed,A,0.159,7.91,low,0.0783,6.84,3.7,2.84,ACTIVE,,0.44,,10.0,
APLAPOLLO,2026-08-14,seed,A,0.736,-5.29,normal,0.0904,8.87,7.1,6.32,ACTIVE,,8.25,,10.0,
CCL,2026-08-14,seed,A,0.16,8.63,low,0.0774,8.63,3.0,1.52,HIT_STOP,-2.18,-5.37,stop,5.0,2026-08-24
IKS,2026-08-14,seed,A,0.831,7.54,normal,0.1424,13.38,6.7,6.25,ACTIVE,,-4.35,,10.0,
MCX,2026-08-14,seed,A,0.646,6.67,normal,0.1435,16.75,14.4,10.0,ACTIVE,,14.66,,10.0,
JSWSTEEL,2026-08-21,forward,A,0.5,3.17,normal,0.0791,7.1,4.7,3.35,ACTIVE,,3.04,,5.0,
SAIL,2026-08-21,forward,A,0.546,3.11,normal,0.0765,8.23,5.1,3.08,ACTIVE,,14.42,,5.0,
PHOENIXLTD,2026-08-24,forward,A,,6.19,,,,,2.09,ACTIVE,,-0.75,,5.0,
HINDZINC,2026-08-28,forward,A,0.577,-5.69,normal,0.1031,10.31,7.3,5.65,,,,,,
USHAMART,2026-08-28,forward,A,0.563,6.95,normal,0.1097,9.16,4.0,2.73,,,,,,
